Collection,Year,Part,Model,Number,Stamp,Condition,Origin,URL,Tags,Quantity,Image,Note
Multipack Exclusive,2019,,Fangster,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Fangster,,,,
Multipack Exclusive,2019,,Corvette Stingray,,,New in 50-pack,OfferUp,,,,,
Multipack Exclusive,2019,,Triumph TR6,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Triumph_TR6,,,,
Multipack Exclusive,2019,,1990 Acura NSX,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/'90_Acura_NSX,,,,
Multipack Exclusive,2019,,Avant Garde,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Avant_Garde,,,,
Multipack Exclusive,2019,,Lamborghini Gallardo LP 560-4,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Lamborghini_Gallardo_LP_560-4,,,,
Multipack Exclusive,2019,,2013 Viper SRT,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/2013_Viper_SRT,,,,
Multipack Exclusive,2019,,Torque Twister,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Torque_Twister,,,,
Multipack Exclusive,2019,,Torque Twister,,,Used,Goodwill,https://hotwheels.fandom.com/wiki/Torque_Twister,,,,
Multipack Exclusive,2019,,Quick N Sik,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Quick_n'_Sik,,,,
Multipack Exclusive,2019,,Custom 1941 Willys Coupe,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Custom_'41_Willys_Coupe,,,,
Multipack Exclusive,2019,,Time Tracker,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Time_Tracker,,,,
Multipack Exclusive,2019,,Fast FeLion,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Fast_FeLion,ZAMAC,,Fast FeLion (Multipack Exclusive 2019) ZAMAC.JPG,
Multipack Exclusive,2019,,Dieselboy,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Dieselboy,,,,
Multipack Exclusive,2019,,Porsche 911 GT2,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Porsche_911_GT2,,,,
Multipack Exclusive,2019,,2011 Indy Oval Course Race Car,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/2011_IndyCar_Oval_Course_Race_Car,,,,
Multipack Exclusive,2019,,Carbonic,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Carbonic,,,,
Multipack Exclusive,2019,,Carbonic,,,Used,Goodwill,https://hotwheels.fandom.com/wiki/Carbonic,,,,
Multipack Exclusive,2019,,Winning Formula,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Winning_Formula,,,,
Multipack Exclusive,2019,,Mustang MACH 1,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/'70_Mustang_Mach_1,,,,
Multipack Exclusive,2019,,Audacious,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Audacious,,,,
Multipack Exclusive,2019,,Prototype H24,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Prototype_H-24,,,,
Multipack Exclusive,2019,,Midnight Otto,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Midnight_Otto,,,,
Multipack Exclusive,2019,,Porsche 356A Outlaw,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Porsche_356A_Outlaw,,,,
Multipack Exclusive,2019,,Ratical Racer,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Ratical_Racer,,,,
Multipack Exclusive,2019,,MR11,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/MR11,,,,
Multipack Exclusive,2019,,Bone Shaker,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Bone_Shaker,,,,
Multipack Exclusive,2019,,Fast FeLion,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Fast FeLion,,,,Came with Launch Box
Multipack Exclusive,2023,,Custom Volkswagen Beetle,,,New in 3-pack,Walmart,,,,,
Multipack Exclusive,2023,,1956 Ford Truck,,,New in 3-pack,Walmart,,,,,
Multipack Exclusive,2023,,Electro Silhouette,,,New in 3-pack,Walmart,,,,,
Muscle Mania,2023,10/10,Mod Speeder,206/250,,New on card,Walmart,,,,,
Muscle Mania,2023,4/10,1970 Dodge Hemi Challenger,123/250,11-22,New on card,Family Dollar,,,,,
Muscle Mania,2022,6/10,2015 Dodge Challenger SRT,235/250,07-22,New on card,Family Dollar,,,,,
Muscle Mania,2022,1/10,1965 Mustang 2+2 Fastback,192/250,08-22,New on card,Dollar General,,,,,
Muscle Mania,2022,2/10,1969 Copo Camaro,193/250,04-22,New on card,Dollar General,,,,,
Muscle Mania,2022,2/10,1969 Copo Camaro,193/250,08-22,New on card,Dollar General,,,,1969 Copo Camaro (Muscle Mania 2022) [yellow].JPG,
Muscle Mania,2022,9/10,Ford Shelby GT350R,249/250,,New on card,Dollar General,,,,,
Muscle Mania,2023,7/10,1971 Plymouth GTX,166/250,,New on card,Dollar Tree,,,,,
Muscle Mania,2022,10/10,1972 Ford Gran Torino Sport,250/250,08-22,New on card,Dollar General,,,,,
Muscle Mania,2023,2/10,Custom Ford Maverick,,,New on card,,,,,,
Muscle Mania,2023,6/10,2018 Dodge Challenger SRT Demon,151/250,,New on card,Family Dollar,,,,,
Muscle Mania,2023,6/10,2018 Dodge Challenger SRT Demon,151/250,,New on card,Family Dollar,,,,2018 Dodge Challenger SRT Demon (Muscle Mania 2023) [blue].JPG,
Muscle Mania,2023,9/10,1969 Shelby GT-500,195/250,,New on card,Family Dollar,,,,,
Muscle Mania,2024,1/5,1968 Dodge Dart,142/250,,New on card,Dollar General,,,,,
Muscle Mania,2024,3/5,1969 Mercury Cougar Eliminator,171/250,,New on card,Mommy,,,,,
Muscle Mania,2024,4/5,1977 Pontiac Firebird T/A,206/250,,New on card,Walmart,,,,,
Mystery Models,2019,,Silhouette,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Silhouette_II,,,,
Nightburnerz,2019,1/10,1982 Nissan Skyline R30,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/'82_Nissan_Skyline_R30,,,,
Quarter Mile Heroes,2024,1/5,McLaren P1,165/250,,New on card,Mommy,,,,,
Quarter Mile Heroes,2024,2/5,2016 Bugatti Chiron,201/250,,New on card,Target,,,,,
Race World Cave 2010,,4/4,Sinistra,208/240,2489N,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Sinistra,,,,
Rally Champs,2022,1/5,1984 Audi Sport Quattro,180/250,08-22,New on card,Dollar General,,,,,
Rally Champs,2022,2/5,Sand Burner,195/250,08-22,Opened,Dollar General,,,,,
Red Lines,2002,1/4,The Demon,103,,New on card,Flea Market,,ZAMAC,2,,
Reissues,1986,,Auburn 852,,,Used,Marketplace,,,,,
Retro Racers,2023,3/10,Mercedes-Benz 300 SL,27/250,09-22,New on card,Family Dollar,,,,,
Retro Racers,2023,4/10,Mazda 787B,28/250,,New on card,Walmart,,,,,
Retro Racers,2023,4/10,Mazda 787B,28/250,,New on card,Dollar General,,,,Mazda 787B (Retro Racers 2023) [black].JPG,
Retro Racers,2023,5/10,Matt and Debbie Hay’s 1988 Pro Street Thunderbird,56/250,,New on card,Walmart,,ZAMAC,,,
Retro Racers,2022,5/10,GT-Scorcher,59/250,04-22,New on card,Dollar General,,,,,
Retro Racers,2023,6/10,Audi 1990 Quattro,77/250,,New on card,Family Dollar,,,2,,
Retro Racers,2023,2/10,Dimachinni Veloce,5/250,,New on card,Target,,,,,
Retro Racers,2023,8/10,Porsche 911 Carrera RS 2.7,125/250,,New on card,Family Dollar,,,,,
Retro Racers,2023,9/10,1971 Porsche 911,126/250,,New on card,Walmart,,,,,
Retro Racers,2023,10/10,Alfa Romeo GTV6 3.0,185/250,,New on card,Dollar Tree,,,,,
Rocking’ Rods Series,1997,1/4,Twang Thang,569,1996,New on card,Flea Market,,,,,
Rod Squad,2021,3/5,Erikenstein Rod,120/250,11-20,New on card,Trade,,,,,
Rod Squad,2022,3/5,1968 El Camino,196/250,05-22,New on card,Dollar Tree,,,,,
Rod Squad,2022,2/5,Mod Rod,168/250,04-22,New on card,Grandpa,,,,,
Rod Squad,2022,2/5,Mod Rod,168/250,,New (open),,,,,,
Rod Squad,2022,4/5,Max Steel,224/250,07-22,New on card,Sissy,,,,,
Rod Squad,2022,4/5,Max Steel,224/250,,New (open),Publix,,,,,
Rod Squad,2024,1/5,Punk Rod,26/250,,New on card,Mommy,,,,,
Rod Squad,2024,1/5,Punk Rod,26/250,,New (open),Family Dollar,,,,,
Rod Squad,2024,4/5,Custom 1953 Chevy,100/250,,New on card,Dollar Tree,,TH,2,,
Rod Squad,2024,5/5,Hirohata Merc,143/250,,New on card,Mommy,,,,,
Rod Squadron,,3/4,Greased Lightnin’,067,,New on card,Flea Market,,,,,
Scrapheads,,5/5,Nash Metropolitan,157,2004,New on card,Flea Market,,,,,
Sky Show,,1/5,Airuption,19/250,08-22,Opened,Dollar General,,,,,
Space Series,1996,2/4,GM Lean Machine,390,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/GM_Lean_Machine,,,,
Space Series,1996,3/4,Alien,391,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Alien,,,,
Speed Blur,,2/10,Rise ‘N Climb,132/250,2017,Opened,Flea Market,,,,,Best for Track
Speed Machines,1984,,T-Totaller,,,Used,Marketplace,,,,,
Spoiler Alert,2022,1/5,Track Manga,50/250,,New on card,Family Dollar,,,,,
Spoiler Alert,2022,2/5,DAVancenator,99/250,04-22,New on card,Dollar General,,,,,
Spoiler Alert,2022,3/5,2005 Ford Mustang,146/250,02-22,New on card,Family Dollar,,,,,
Spoiler Alert,2022,4/5,Track Ripper,164/250,02-22,New on card,CVS,,,,,
Spoiler Alert,2022,5/5,Custom 2018 Ford Mustang GT,175/260,04-22,New on card,Dollar General,,,,,
Spring Series,2023,2/5,1969 Camaro,,,New on card,Walmart,,,,,
Spring Series,2023,4/5,1965 Ford Mustang Convertible,,,New on card,Walmart,,,,,
Star-Spangled Series,,4/4,1968 El Camino,082,2002,New on card,Flea Market,,,0,,
Street Beasts,2022,4/5,Turtoshell,89/250,04-22,Opened,Dollar General,,,,,
Street Beasts,,7/10,Ratical Racer,91/250,2017,Opened,Flea Market,,,,,
Super Chromes,,5/10,Speed Slayer,323/365,1497N,Opened,Flea Market,,,,,
Super Chromes,2019,3/5,Speedbox,22/250,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Speedbox,,,,
Super Chromes,2016,2/10,Hot Wheels High,37/250,2365N,Opened,Trade,,,,,Bus
Surf’s Up,2023,2/5,Kool Kombi,49/250,,New on card,Dollar Tree,,,2,,Moon Eyes Volkswagen
Surf’s Up,2017,4/5,Surf Crate,100/365,3186N,Opened,Flea Market,,,,,
Sweet Rides,2023,5/5,Donut Drifter,129/250,,New on card,Dollar General,,TH,,,
Team: Rat Rods,,2/4,Dieselboy,126/196,2008,Opened,Flea Market,,,,,
Techno Bits,,1/4,Shadow Jet II,689,1997,New on card,Flea Market,,,,,
Techno Bits,,2/4,Power Pistons,690,,New on card,Flea Market,,,,,
Terrorific Series,,1/4,At-A-Tude,977,1999,New on card,Flea Market,,,,,
Terrorific Series,,2/4,Cat-A-Pult,978,1998,Opened,Flea Market,,,,,
Then and Now,2022,3/10,Dodge Viper RT/10,208/250,04-22,New on card,Dollar General,,,,,
Then and Now,2023,3/10,Toyota Land Cruiser 80,204/250,,New on card,Walmart,,,,,
Then and Now,2022,10/10,1981 Camaro,248/250,,New on card,Dollar General,,,,,
Then and Now,2023,1/10,Corvette C7 Z06,193/250,,New on card,Walmart,,ZAMAC,2,,
Then and Now,2023,7/10,2020 Dodge Charger Hellcat,231/250,,New on card,Publix,,,,,
Then and Now,2023,5/10,1962 Corvette,216/250,,New on card,Grandpa,,,,,
Then and Now,2023,4/10,2007 Ford Mustang,205/250,,New on card,Dollar Tree,,,,,
Then and Now,2023,8/10,1969 Dodge Charger 500,240/250,,New on card,Target,,,,,
Then and Now,2023,2/10,Toyota Land Cruiser,194/250,,New on card,Dollar Tree,,TH,3,,
Then and Now,2024,1/10,Nissan Skyline 2000GT-R LBWK,191/250,,New on card,Target,,,,,Liberty Walk
Then and Now,2024,3/10,Chevy Silverado,207/250,,New on card,Dollar General,,,,,
Then and Now,2024,4/10,Deora II,208/250,,New on card,Walmart,,,,,Hot Wheels Let’s Race
Then and Now,2024,5/10,1967 Ford GT40 Mk.IV,220/250,,New on card,Target,,,,,
Tooned,2020,3/10,1970 Volkswagen Baja Bug,126/250,,Opened,Flea Market,,,,,
Thrill Racers - Earthquake,2012,4/5,Mega-Duty,224/247,,Opened,Flea Market,https://hotwheels.fandom.com/wiki/Mega-Duty,,,,
Tooned,2021,3/5,1968 Mustang,40/250,,New on card,Flea Market,,,,,
Tooned,2023,1/5,Tooned Twin Mill,170/250,,Opened,Walmart,,,,,
Tooned,2023,1/5,Tooned Twin Mill,170/250,,Opened,Walmart,,,,Tooned Twin Mill (Tooned 2023) [yellow].JPG,Yellow
Tooned,2023,2/5,1970 Dodge Charger,153/250,,Opened,Target,,,,,
Tooned,2023,3/5,1994 Toyota Supra,211/250,,Opened,Walmart,,,,,Fast & Furious
Tooned,2023,4/5,Tooned Volkswagen Golf MK1,221/250,,New on card,Walmart,,TH,,,
Tooned,2023,5/5,Porsche 911 Turbo 3.6 (964),234/250,,Opened,Family Dollar,,,,,
Tooned,2024,3/5,Nissan Skyline 2000GT-R LBWK,213/250,,New on card,Target,,,,,Liberty Walk
Tooned,2024,5/5,Small Bloc,228/250,,New on card,Target,,,,,Hot Wheels Let’s Race
Track Stars,2020,5/5,Circle Trucker,131/250,2018,New on card,Flea Market,,TH,,,
Track Stars Haulers,2015,,Turbo Beast,,2018,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Turbo_Beast,,,,
Track Stars Haulers,2023,,Rad Rider Rig,,,New on card,Ross,https://hotwheels.fandom.com/wiki/Rad_Rider_Rig,,,,
Treasure Hunts 2010,2010,1/12,Custom 1953 Cadillac,45/240,2010,New on card,Flea Market,https://www.hwtreasure.com/2010-super-treasure-hunts/custom-53-cadillac/,TH,,,
Tuners,,1/4,Ford Focus,063,2000,New on card,Flea Market,,,,,
Turbo Trax Set,1988,,Sol-Aire CX4,,,Used,Marketplace,,,,,Broken wheel
Ultra Hots,1984,,Sol-Aire CX4,,,Used,Marketplace,,,,,
Vintage American Muscle,2017,5/10,1965 Pontiac Bonneville,,J52,New on card,Flea Market,,,0,,
Vintage American Muscle,2023,7/8,Custom 1967 Pontiac Firebird,,S12A,New on card,Walmart,,,,,
Vintage American Muscle,2023,8/8,1979 Buick GSX,,S20A,New on card,Walmart,,,,,
Vintage American Muscle,2023,2/8,1969 Mercury Cougar Eliminator,,S20A,New on card,Walmart,,,,,
Vintage American Muscle,2023,5/8,1969 Dodge Charger,,S20A,New on card,Walmart,,,,,
Virtual Collection,,,Screamin’ Hauler,156,2000,Opened,Flea Market,,,,,
Virtual Collection,,,Super Modified,158,2000,New on card,Flea Market,,,,,
Virtual Collection,,,Super Modified,158,2000,New (open),Flea Market,,,,,
Virtual Collection,,,Lakester,168,2000,New on card,Flea Market,,,,,
Volkswagen,2022,1/8,Volkswagen T2 Pickup,,,New on card,Walmart,,,0,,
Volkswagen,2022,5/8,Volkswagen Caddy,,,New on card,Walmart,,,0,,
Volkswagen,2022,6/8,Custom Volkswagen Beetle,,,New on card,Walmart,,,0,,
Volkswagen,2022,2/8,Custom 1969 Volkswagen Squareback,,,New on card,Walmart,,,0,,
Volkswagen,2022,7/8,1949 Volkswagen Beetle Pickup,,,New on card,Walmart,,,0,,
Work Crewsers,2003,10/10,Fire-Eater,190,,Opened,Trade,,,,,Fire truck
X-Raycers,,1/4,Nerve Hammer,69/180,2007,Opened,Flea Market,,,,,
X-Raycers,,2/5,Loco Motorin’,99/250,11-20,Opened,Flea Market,,,,,Train
X-Raycers,,3/5,Turbine Sublime,189/250,04-22,Opened,Dollar General,,,,,
X-Raycers,2019,3/10,Gazella GT,11/250,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Gazella GT,,,,Came with Launch Box
X-Treme Speed,1999,2/4,Callaway C7,,,Opened,Flea Market,,,,,
Dash 4 Cash,1998,4/4,Dodge Viper RT/10,724,,New on card,Flea Market,,,,,
Mainline,2003,,1963 Thunderbird,119,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/'63_T-Bird,,0,,
Mainline,2000,,1956 Ford Truck,171,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/'56_Ford_Truck,,,,
Mainline,2001,,Hummer,162,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Humvee_(1992),,2,,
Mainline,2006,,Tooned 1969 Camaro Z28,124,,New on card,Flea Market,,,,,
Mainline,2006,,Tooned 1969 Camaro Z28,124,,Opened,Flea Market,,,,,
Mainline,2002,29/126,Anglia Panel,143,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Anglia_Panel_Truck,,,,
Mainline,1994,,Shadow Jet II,246,,New on card,Flea Market,,,,,
Fast & Furious,2023,9/10,2020 Jeep Gladiator,,,New on card,Walmart,,,,,F9 The Fast Saga
Pro Racing: Basic,1997,,Ford Thunderbird,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/T-Bird_Stocker_(1997),PREMIUM,,,T-Bird Stocker
Pro Racing: Basic,1997,,Chevrolet Monte Carlo,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Monte_Carlo_Stocker_(1996),,,,Monte Carlo Stocker
Mainline,1981,,Dixie Challenger,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Dixie_Challenger,,,,
Crazy Croc 5-pack,2006,5/5,Buzz Off,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Buzz_Off_(2004),,,,
Crazy Croc 5-pack,2006,3/5,Maelstrom,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Maelstrom,,,,
Mainline,2005,,2001 B Engineering Edonis,177,,Used,Grandpa,https://hotwheels.fandom.com/wiki/2001_B_Engineering_Edonis,,,,Based on the Bugatti EB 110
Hot Trucks 5-pack,2006,,Rockster,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Rockster,,,,
Terrordactyl 5-pack,2006,,Power Pistons,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Power_Pistons,,,,
Figure 8 Racers 5-pack,1998,,Chevy Stocker,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Chevy_Stocker,,,,Modeled after 1986 Chevrolet Monte Carlo Aerocoupe
Power Launcher pack,2000,,1967 Camaro,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/'67_Camaro,,,,
Mainline,1984,,Blazer 4x4,6,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Blazer_4×4,,,,Chevrolet
Circus On Wheels,2000,3/4,1940’s Ford 2-door,027,,Used,Grandpa,https://hotwheels.fandom.com/wiki/'40's_Ford_2-Door,,,,Also named Fat Fendered '40
Street Art,1999,4/4,School Bus,952,,Used,Grandpa,https://hotwheels.fandom.com/wiki/School_Bus,,,,
Color Racers 3-pack,1989,,Flame Runner,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Flame_Runner,,,,
Roll Patrol,2003,4/10,Saleen S7,157,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Saleen_S7,,,,
Figure 8 Starter Set,1997,,Power Pipes,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Power_Pipes,,,,
Color Changers,1988,,Camaro Z-28,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Camaro_Z-28,,,,
McDonald’s,1996,,Roadster,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Roadster,,,,
Team: Ford Racing,2008,4/4,Deuce Roadster,144/196,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Deuce_Roadster,,,,
McDonald’s,1994,2/8,Black Cat,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Black_Cat,,,,
McDonald’s,1994,7/8,Street Shocker,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Street_Shocker,,,,
McDonald’s,1998,5/8,Ford Stocker,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Ford_Stocker_(McDonald's),,,,Ronald NASCAR
McDonald’s,1998,8/8,Ford Stocker,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Ford_Stocker_(McDonald's),,,,50th Anniversary NASCAR
McDonald’s,2000,8/20,Future NASCAR Stock Car,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Future_NASCAR_Stock_Car,,,,
McDonald’s,2000,14/16,Hot Rod,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/McDonald's_Hot_Rod,,,,
1998 First Editions,1998,,1940s Woodie,217,1998,New on card,Flea Market,,,,,
1998 First Editions,1998,22/40,Super Comp Dragster,655,,Opened,Flea Market,,,,,
1998 First Editions,1998,25/40,Tow Jam,,,Opened,Flea Market,https://hotwheels.fandom.com/wiki/Tow_Jam,,,,
1998 First Editions,1998,28/40,Chaparral 2,669,1998,New on card,Flea Market,,,,,
1998 First Editions,1998,33/40,Bad Mudder,662,,New on card,Flea Market,,,,,
1999 First Editions,1999,5/26,Olds Aurora GTS-1,911,1999,New on card,Flea Market,,,,,
1999 First Editions,1999,7/26,Pontiac Rageous,675,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Pontiac_Rageous,,,,
1999 First Editions,1999,77/109,Humvee,1080,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Humvee_(1992),,,,
2000 First Editions,2000,5/36,Deora II,065,,New on card,Flea Market,,,2,,
2000 First Editions,2000,9/36,Phantastique,,2000,New on card,Flea Market,,,,,
2000 First Editions,2000,10/36,Thomassima 3,,2000,New on card,Flea Market,,,,,
2000 First Editions,2000,10/36,Thomassima 3,,,New (open),Flea Market,,,,,
2000 First Editions,2000,17/36,Anglia Panel Truck,077,2000,New on card,Flea Market,,,,,
2000 First Editions,2000,22/36,Cabbin’ Fever,082,,New on card,Flea Market,,,,,
2000 First Editions,2000,26/36,Shoe Box,086,2000,Opened,Flea Market,,,,,
2000 First Editions,2000,31/36,Roll Cage,091,,Opened,Flea Market,,,,,
2000 First Editions,2000,34/36,Arachnorod,094,2000,New on card,Flea Market,,,,,
2001 First Editions,2001,2/36,Surfin’ School Bus,014,,Opened,Trade,,,,,
2001 First Editions,2001,10/36,Shredster,022,,New on card,Flea Market,,,,,
2001 First Editions,2001,18/36,Hooligan,018,,New on card,Flea Market,,,,,
2002 First Editions,2002,22/42,Jaded,034,2002,New on card,Flea Market,,,,,
2002 First Editions,2002,40/42,Side Draft,052,2002,Opened,Flea Market,,,,,
2003 First Editions,2003,37/42,Ground FX,049,2002,New on card,Flea Market,,,,,
2004 First Editions,2004,60/100,Hummer H3T,060,2004,New on card,Flea Market,,,,,
2004 First Editions,2004,8/100,Tooned Toyota Supra,008,,Opened,Flea Market,,,,,
2004 First Editions,2004,12/100,Blings Dairy Delivery,012,,New on card,Flea Market,,,,,
2004 First Editions,2004,15/100,Blings Dodge Ram Pickup,015,,New on card,Flea Market,,,,,
2004 First Editions,2004,34/100,Blings Hummer H2,034,,New on card,Flea Market,,,,,
2004 First Editions,2004,48/100,Crooze Low Flow,049,2004,New on card,Flea Market,,,,,
2004 First Editions,2004,80/100,Dodge Tomahawk,080,,Opened,Flea Market,,,,,Motorcycle
2004 First Editions,2004,100/100,Cool-One,100,,New on card,Flea Market,,,,,
2004 First Editions,2004,94/100,Phantom Racer,094,,Opened,Flea Market,,,,,
2005 First Editions - Blings,2005,1/10,Chrysler 300C,031,,New on card,Flea Market,,,,,
2005 First Editions - Blings,2005,2/10,Ford Bronco Concept,032,,New on card,Flea Market,,,,,
2005 First Editions - Blings,2005,7/10,Hummer H3,037,,New on card,Flea Market,,,,,
2005 First Editions - Torpedoes,2005,7/10,Slider,047,2005,Opened,Flea Market,https://hotwheels.fandom.com/wiki/Slider,,,,
2006 First Editions,2006,17/38,Qombee,017,2006,New on card,Flea Market,,,,,
2007 All Stars,2007,,Flight 2003,185/223,2006,New on card,Flea Market,,,,,
2007 All Stars,2007,,Ford Shelby GR-1 Concept,206/223,2007,New on card,Flea Market,,,,,
2008 First Editions,2008,40/40,Twin Mill III,40/172,2007,New on card,Flea Market,,,,,
2008 New Models,2008,3/40,2007 Audi R8,3/196,,Used,Grandma,https://hotwheels.fandom.com/wiki/Audi_R8,,,,
2010 New Models,2010,24/44,Back Slider,24/240,0040N,Opened,Trade,,,,,
2010 New Models,2010,43/44,Dodge Charger Drift Car,43/240,3139N,New on card,Flea Market,,,,,
2012 New Models,2012,41/50,Blastous Moto,,1832N,Opened,Flea Market,,,,,Motorcycle
50th Anniversary,2018,2/6,Twin Mill,,2018,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Twin_Mill,,,,
55th Anniversary Mix 2,2023,1/6,1967 Chevy C10,,,New on card,Walgreens,,,,,
55th Anniversary Mix 2,2023,2/6,Twin Mill,,,New on card,Walgreens,,,2,,
55th Anniversary Mix 2,2023,3/6,Mercedes-Benz Unimog U 1300,,,New on card,Publix,,Chase,,,
